id,title,price,promo_price,url
3011487,Пюре ФрутоНяня говядина-язык 80 г с 8 месяцев,87.9,70.3,https://www.detmir.ru/product/index/id/3011487/
3344514,Смесь молочная Similac гипоаллергенный 1 750г с 0месяцев,1649.0,1399.0,https://www.detmir.ru/product/index/id/3344514/
527511,Пюре Gerber цветная капуста 130г,147.7,110.7,https://www.detmir.ru/product/index/id/527511/
3026213,Стул для кормления 2в1 Babyton City Grey 505,13359.0,6609.0,https://www.detmir.ru/product/index/id/3026213/
3168639,Молочко детское Nutrilon Премиум 4 1200г с 18месяцев,2227.0,1781.0,https://www.detmir.ru/product/index/id/3168639/
506401,Пюре ФрутоНяня из кабачков и картофеля 80 г с 5 месяцев,59.9,42.9,https://www.detmir.ru/product/index/id/506401/
1819931,Смесь NAN тройной комфорт 400г с 0мес,953.0,,https://www.detmir.ru/product/index/id/1819931/
3187796,Каша молочная Nestle овсяная груша-банан 220г с 6месяцев,255.0,165.7,https://www.detmir.ru/product/index/id/3187796/
23981,Пюре Бабушкино лукошко говядина 100 г с 6 мес+,107.9,90.9,https://www.detmir.ru/product/index/id/23981/
20061,"Вода ФрутоНяня  артезианская питьевая негаз. 0,33 л с 0 месяцев",32.9,27.9,https://www.detmir.ru/product/index/id/20061/
3178732,Бутылочка Philips Avent Natural2 125мл с 0месяцев SCF030/17,829.0,665.0,https://www.detmir.ru/product/index/id/3178732/
2992294,"Пюре ФрутоНяня из яблок с бананом, грушей и печеньем 250 г с 6 месяцев",74.9,59.9,https://www.detmir.ru/product/index/id/2992294/
3112492,Пюре Gerber телятина 80г с 6месяцев,209.0,175.9,https://www.detmir.ru/product/index/id/3112492/
4018745,Кашка молочная ФрутоНяня пять злаков с лесными ягодами 0.2л с 6месяцев,49.9,36.5,https://www.detmir.ru/product/index/id/4018745/
501731,Пюре Тёма кролик 100 г с 6 месяцев,134.7,,https://www.detmir.ru/product/index/id/501731/
140122,Смесь сухая Nutrilon Пепти Гастро 450г с 0 месяцев,1679.0,,https://www.detmir.ru/product/index/id/140122/
2209001,Пюре ФрутоНяня из яблок и бананов 100 г с 6 месяцев,49.9,40.9,https://www.detmir.ru/product/index/id/2209001/
3196593,Каша Heinz Лакомая многозерновая яблоко-вишня 170г с 6месяцев,229.0,155.7,https://www.detmir.ru/product/index/id/3196593/
14081,Смесь Nutrilak Premium сухая кисломолочная 350г с 0мес,557.0,447.0,https://www.detmir.ru/product/index/id/14081/
707191,Пюре Бабушкино лукошко фрикадельки говядина 100 г с 8 месяцев,134.9,114.5,https://www.detmir.ru/product/index/id/707191/
3138963,Каша безмолочная Nutrilon гречневая 180г с 4месяцев,259.0,207.0,https://www.detmir.ru/product/index/id/3138963/
240331,Смесь Nutrilak безлактозная 350г с 0мес,1001.0,851.0,https://www.detmir.ru/product/index/id/240331/
3108453,Кусочки фруктовые ФрутоНяня из яблок и персиков 53г с 12месяцев,145.9,117.9,https://www.detmir.ru/product/index/id/3108453/
3148969,Каша молочная Heinz пшеничная с тыквой 200 г с 5 месяцев,229.0,155.7,https://www.detmir.ru/product/index/id/3148969/
511951,Пюре ФрутоНяня из яблок и груш с творогом 90 г с 6 месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/511951/
3224722,Пюре ФрутоНяня хек 80г с 8месяцев,118.9,95.1,https://www.detmir.ru/product/index/id/3224722/
2273661,Молоко Агуша 3.2% 0.950л с 3лет,119.9,95.5,https://www.detmir.ru/product/index/id/2273661/
4672775,Смесь NAN Supreme 2 800г с 6месяцев,2125.0,,https://www.detmir.ru/product/index/id/4672775/
1773351,Каша Kabrita гречневая на козьем молоке 180г с 4месяцев,995.0,347.0,https://www.detmir.ru/product/index/id/1773351/
3954901,Стул Happy Baby Berny V2 Beige,13989.0,,https://www.detmir.ru/product/index/id/3954901/
3196591,Каша Heinz Лакомая гречневая груша-абрикос-смородина 170г с 5месяцев,229.0,155.7,https://www.detmir.ru/product/index/id/3196591/
1149981,Батончик Gerber злаки-виноград-яблоко 25г,77.1,65.5,https://www.detmir.ru/product/index/id/1149981/
3152647,Смесь Similac Комфорт 2 375г с 6месяцев,795.0,,https://www.detmir.ru/product/index/id/3152647/
3170068,Пюре ФрутоНяня яблоко-малина с творогом 90г с 6месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/3170068/
3016197,Печенье Heinz 160г с 5месяцев,187.9,158.3,https://www.detmir.ru/product/index/id/3016197/
421141,Каша Fleur Alpine овсяная груша на молоке 200г 5месяцев,599.0,375.0,https://www.detmir.ru/product/index/id/421141/
3163722,Смесь молочная Nutrilak 2 600г с 6месяцев,507.0,411.0,https://www.detmir.ru/product/index/id/3163722/
3208138,Пюре ФрутоНяня яблоко-груша-банан-персик с йогуртом 90г с 6месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/3208138/
707201,Пюре Бабушкино лукошко фрикадельки индейка 100 г с 8 месяцев,134.9,109.7,https://www.detmir.ru/product/index/id/707201/
511921,Пюре ФрутоНяня из яблок и абрикосов со сливками 90 г с 6 месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/511921/
2457161,Молокоотсос Maman электрический  LS-AE1,3839.0,3285.0,https://www.detmir.ru/product/index/id/2457161/
20051,Вода ФрутоНяня артезианская питьевая негаз. 5 л с 0 месяцев,131.9,117.9,https://www.detmir.ru/product/index/id/20051/
3209043,Смесь молочная Kabrita Gold 2 400г с 6месяцев,3045.0,1521.0,https://www.detmir.ru/product/index/id/3209043/
3196592,Каша Heinz Лакомая кукурузная тыква-чернослив-морковь 170г с 5месяцев,229.0,155.7,https://www.detmir.ru/product/index/id/3196592/
3415083,Смесь PediaSure Малоежка шоколад 850г с 12месяцев,1447.0,1349.0,https://www.detmir.ru/product/index/id/3415083/
134492,Каша Fleur Alpine Органик безмолочная пшеница 175г с 5месяцев,449.0,267.0,https://www.detmir.ru/product/index/id/134492/
3026214,Стул для кормления 2 в 1 Babyton City Green 505,13359.0,6609.0,https://www.detmir.ru/product/index/id/3026214/
3415084,Смесь PediaSure Малоежка ваниль 850г с 12месяцев,1435.0,,https://www.detmir.ru/product/index/id/3415084/
3473238,Смесь Friso Гипоалергенная 1 400г с 0месяцев,1217.0,1087.0,https://www.detmir.ru/product/index/id/3473238/
500991,Пюре Gerber цветная капуста 80г,103.9,77.9,https://www.detmir.ru/product/index/id/500991/
